,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
70,it01,it01-008,paca,8,681.0733582763917,1356.5902774517313,1885.20634923464,111.12537955079152,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
71,it01,it01-008,paca,9,618.6228321896144,1488.3633321218424,1725.100284686807,,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
72,it01,it01-009,bodo,1,520.898725639424,903.2110758558156,2422.109645089494,110.3111802620891,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
73,it01,it01-009,bodo,2,543.1718986854235,906.0669092459916,2424.5040835977125,109.2084012366155,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
74,it01,it01-009,bodo,3,550.0693169565609,901.6745772870275,2445.5538646011337,109.5007423901618,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
75,it01,it01-009,bodo,4,549.392955507833,886.4898534673374,2437.121603143016,110.73968895564586,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
76,it01,it01-009,bodo,5,554.15950773703,887.0024923719936,2431.712078584145,111.54112862749442,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
77,it01,it01-009,bodo,6,553.5553364930538,904.7229165148832,2344.104037364042,112.36012357469204,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
78,it01,it01-009,bodo,7,551.2048073264802,928.4921645847772,2258.949355582497,112.58791107730262,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
79,it01,it01-009,bodo,8,541.0413151456713,1002.4804945237964,2190.223707862437,112.52216405986437,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
80,it01,it01-009,bodo,9,499.3302783182723,1091.381743687526,2135.924115607923,112.31340529601916,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal
81,it01,it01-010,pucu,1,443.4024431110414,568.3787353341003,2052.3541788003736,127.26549859428523,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
82,it01,it01-010,pucu,2,316.1829569755849,683.0470726681918,2253.080370929536,126.91763422165432,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar
